Q1: [1540, 4329, 3879, 3707, 3850, 1790, 1692, 1879, 2229, 677]
Q2: [1105, 4790, 1017, 2853, 2350, 3731, 76, 2341, 542, 1228]
Q3: [2039, 1894, 2853, 1848, 1319, 1402, 4459, 713, 2203, 4279]
Q4: [4715, 3604, 2853, 595, 1879, 2229, 4811, 1000, 1319, 677]
Q5: [1829, 1879, 3879, 2229, 3731, 2575, 4377, 1658, 2432, 1600]
Q6: [3317, 428, 1319, 259, 542, 3850, 951, 3731, 76, 2853]
Q7: [52, 1879, 4752, 76, 2853, 3879, 1319, 1153, 2500, 2229]
Q8: [2700, 3537, 3850, 1654, 4487, 1186, 4752, 2853, 4678, 1319]
Q9: [3581, 827, 3249, 4035, 333, 1897, 2350, 2405, 677, 2113]
Q10: [2324, 3731, 1319, 3430, 1799, 1557, 1113, 4601, 677, 4344]
Q11: [4813, 945, 3573, 827, 2605, 2720, 3935, 677, 542, 4891]
Q12: [2562, 1000, 1879, 1527, 4364, 983, 2229, 4459, 1654, 861]
Q13: [3657, 2727, 1752, 2910, 3886, 1600, 2610, 421, 279, 590]
Q14: [45, 4113, 1663, 743, 1409, 4567, 4435, 4638, 590, 257]
Q15: [3914, 3678, 115, 2229, 3584, 951, 677, 3826, 3879, 1556]
Q16: [1099, 718, 1074, 1879, 3879, 4344, 2229, 2220, 3919, 2853]
Q17: [305, 1319, 4582, 393, 3768, 3248, 4592, 184, 2853, 661]
Q18: [3613, 1319, 2853, 1115, 713, 3850, 1557, 4678, 971, 3248]
Q19: [2483, 4850, 1799, 2857, 3438, 1178, 4344, 1600, 1524, 3666]
Q20: [1729, 4031, 3799, 4346, 951, 677, 542, 2605, 945, 4684]
